ISO,imr1830,imr1900,imr19501955,imr19651970,imr19801985,imr19952000,imr20052010
NAM,,,171.956,115.121,76.44,57.633,43.198
SLB,,,146.155,104.102,75.709,65.125,42.857
AZE,,,120.05,105.047,90.001,61.277,41.062
BTN,,,269.088,188.632,109.962,61.743,40.831
KIR,,,160.481,120.414,85.282,54.992,40.783
BWA,,,135.262,104.059,62.383,57.192,38.9
KGZ,,,140.19,110.104,80.035,48.303,36.402
FSM,,,96.517,67.649,47.019,39.978,34.864
IRQ,,,225.438,91.403,43.286,35.83,32.87
MAR,,,151.252,122.682,83.855,44.054,32.228
PRY,,,73.447,58.559,48.899,39.21,32.043
GUY,,,67.472,61.272,55.734,39.648,30.967
MNG,,249,183.196,118.756,102.392,53.948,30.517
GTM,,,140.913,115.527,79.341,45.543,30.141
DZA,,,163.059,132.349,75.369,40.532,29.72
DOM,,,153.231,109.025,75.234,41.347,29.583
IDN,,,188.352,118.187,70.479,41.689,29.291
VUT,,,169.887,115.991,70.926,42.428,28.661
HND,,,169.297,119.017,65.008,35.056,27.813
PRK,,,122.821,58.15,31.12,57.805,27.29
KAZ,,,110.121,85.174,60.308,43.475,27.007
TTO,,,82.592,48.434,31.736,28.8,26.575
JAM,,,91.937,51.615,35.827,27.885,24.419
BRA,,,134.813,100.192,63.349,34.129,23.595
EGY,,,248.71,170.173,106.863,36.679,23.457
PHL,,,96.774,67.801,54.522,30.16,22.98
WSM,,,107.434,77.72,51.625,29.938,22.406
PSE,,,158.321,109.16,53.015,27.636,22.194
SUR,,,77.537,48.867,41.492,28.689,22.16
TON,,,58.928,42.019,30.59,24.959,22.033
GEO,,,80.032,59.022,46.685,37.546,22.004
CPV,,,132.374,119.031,61.898,35.699,21.6
NIC,,296.1,172.407,113.836,79.832,33.587,21.504
ECU,,184.5,139.669,107.175,68.509,33.269,21.081
ARM,,,83.003,68.006,52.979,35.021,21.009
PER,,,158.701,126.327,81.663,40.64,21.005
IRN,,,220.219,153.621,71.301,33.603,20.703
SLV,,,147.087,108.571,76.836,27.419,20.604
JOR,,,147.462,77.394,42.714,25.579,19.69
COL,,,123.225,82.21,42.974,23.99,19.078
TUN,,,232.378,173.309,65.842,28.64,18.699
VCT,,,122.08,77.256,35.897,20.981,18.53
CHN,,,121.652,63.154,37.596,27.338,18.366
FJI,,,64.303,46.768,33.384,21.874,17.934
PAN,,,91.739,58.24,34.369,23.545,17.069
VEN,,,106.438,59.53,33.617,20.703,17.007
LBY,,,254.077,121.472,51.029,26.277,16.793
MEX,,,121.328,79.526,47.075,27.702,16.658
TUR,,,217.771,160.015,94.716,37.016,16.389
ALB,,,144.851,76.935,43.181,26.293,16.108
ABW,,,69.071,35.791,20.485,18.462,16.044
VNM,,,103.624,56.817,41.164,26.994,15.802
BLZ,,,100.176,68.543,39.87,22.758,15.555
MDA,,,81.291,49.028,35.557,24.5,15.548
MDV,,,246.485,174.982,103.204,52.724,15.223
NCL,,,116.728,65.572,35.997,20.461,15.077
SYR,,,141.291,90.302,42.934,21.275,14.942
GUF,,,103.419,51.227,32.098,16.961,14.023
SAU,,,201.933,137.486,56.201,23.162,13.981
ARG,,,63.799,57.409,32.202,21.853,13.434
MUS,,,103.134,67.267,26.005,19.702,13.214
URY,,,57.418,47.122,33.505,15.586,13.076
UKR,,,78.778,23.457,19.967,16.637,12.632
ROU,,,90.941,51.033,25.68,20.285,11.966
MKD,,171.1,136.32,82.035,51.54,18.443,11.885
LCA,,,148.206,57.293,23.59,15.299,11.853
THA,,,119.71,75.933,43.123,17.102,11.801
BRB,,,85.545,49.997,29.022,16.756,11.592
GUM,,,82.926,49.914,28.709,17.025,11.413
MNE,,,120.101,49.57,25.8,15.809,10.89
VIR,,,57.507,34.837,21.455,13.09,10.614
LKA,,,89.054,52.959,29.222,16.208,10.521
GRD,,,107.892,55.387,27.89,13.876,10.184
SYC,,,85.06,64.254,18.371,11.053,10.183
BHS,,,70.581,39.723,22.236,14.161,10.041
ATG,,,93.024,50.204,27.325,14.932,10.028
LBN,,,68.437,47.257,34.97,18.839,10.014
CRI,,,93.821,67.709,19.215,11.835,9.889
BGR,,,91.957,30.682,17.832,15.251,9.853
OMN,,,211,130.705,59.44,21.705,9.771
KWT,,,123.804,53.936,23.902,10.88,9.65
BIH,,,188.603,72.644,25.622,11.142,9.03
PYF,,,129.632,79.472,34.75,10.18,8.773
BHR,,,172.56,70.81,23.141,11.98,7.958
LVA,,,76.868,22.274,18.501,15.728,7.799
MTQ,,,80.767,44.638,22.024,10.791,7.585
QAT,,,106.018,50.758,23.172,11.78,7.51
CHL,,314.5,120.365,89.256,23.714,11.479,7.193
PRI,,,63.416,33.287,17.203,10.945,7.015
GLP,,,80.552,41.733,21.453,10.958,6.984
ARE,,,181.078,78.902,29.558,12.381,6.88
USA,,,30.48,22.685,11.598,7.474,6.869
BLR,,,95.618,25.787,19.551,14.911,6.271
SVK,,250.1,73.9,25.305,17.937,9.027,6.252
POL,,,78.949,36.088,19.779,10.11,6.084
LTU,,,107.829,27.025,18.35,11.019,5.971
MLT,,,52.267,27.851,15.531,8.628,5.823
HRV,160,,95.532,34.945,18.246,7.107,5.75
MYT,,,141.953,61.31,25.296,10.301,5.634
REU,,,141.953,61.31,25.296,10.301,5.634
HUN,,,71.894,37.246,19.987,9.587,5.594
CAN,,,38.502,21.271,9.241,5.465,5.215
TWN,,,78.95,40.401,8.451,6.797,5.16
BRN,,,83.993,38.526,18.211,8.542,5.144
CUB,,,80.694,49.689,17.65,7.984,5.121
MAC,,,66.014,35.001,17.056,8.254,5.076
NZL,,90,26.809,18.118,12.013,6.24,5.011
GBR,151,125.3,28.677,19.023,10.835,5.896,4.898
MYS,,,102.393,48.301,20.944,8.985,4.764
EST,,,84.914,23.494,20.307,11.988,4.759
KOR,,,138.119,64.207,24.607,6.608,4.603
AUS,,90,23.69,17.988,9.857,5.44,4.434
CYP,,,64.934,31.512,15.089,7.158,4.353
GRC,,,45.801,33.619,14.708,6.916,4.226
CHE,,129.2,29.026,16.829,7.799,4.773,4.212
NLD,164,130,23.005,13.265,8.29,5.283,4.107
ISR,,,38.927,24.33,13.723,6.459,3.904
DNK,146,116.7,28.287,16.351,7.848,4.904,3.822
BEL,182,148.6,46.018,22.522,10.997,5.381,3.815
AUT,251.2,213.1,55.113,26.434,12.554,4.812,3.776
IRL,,97.5,41.446,22.912,10.227,6.106,3.737
DEU,294,193.3,46.385,22.635,11.075,4.845,3.701
FRA,176.5,137.2,45.641,20.724,9.481,4.744,3.681
ESP,,,64.865,32.055,10.353,4.802,3.636
ITA,,,60.401,33.184,12.923,5.646,3.445
PRT,,,92.859,61.211,20.338,6.495,3.381
CZE,,,46.268,21.885,14.807,5.805,3.149
NOR,140.5,72.4,22.303,13.921,7.469,4.006,3.026
SVN,,,22.769,16.567,13.371,4.912,2.89
FIN,196.9,127.6,34.471,15.075,6.505,3.859,2.771
JPN,,,50.075,16.483,6.63,3.755,2.6
SWE,173.9,86.8,19.71,12.529,6.776,3.644,2.49
LUX,,,43.441,20.912,11.992,4.86,2.323
SGP,,79.2857,60.989,23.79,8.76,4.084,2.161
ISL,,,21.43,13.407,6.397,4.01,2.011
HKG,,,61.821,24.681,9.713,3.798,1.867
FLK,,,,,,,
SMR,,145.256,,,,,
TCA,,,,,,,
VAT,,,,,,,
RUS,,,100.513,31.253,25.931,20.969,10.682
